"","ID","allhazards_onset_avg_30","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_nonfd_sev_exposure2_30_IA","cluster","OWC","eHRAF.Name","Region","DQ"
"82",22,NA,NA,NA,NA,NA,NA,"FA08","Bambara","Africa",NA
"83",28,NA,NA,NA,NA,NA,NA,"FO07","Azande","Africa",NA
"84",29,NA,NA,NA,NA,NA,NA,"MQ08","Fur","Middle East",NA
"85",32,NA,NA,NA,NA,NA,NA,"MP19","Mao","Middle East",NA
"86",42,NA,NA,NA,NA,NA,NA,"MX03","Berbers of Morocco","Middle East",NA
"87",55,NA,NA,NA,NA,NA,NA,"RI03","Abkhazians","Russia",NA
"88",57,NA,NA,NA,NA,NA,NA,"MA11","Kurds","Middle East",NA
"89",63,NA,NA,NA,NA,NA,NA,"AW19","Uttar Pradesh","Asia",NA
"90",65,NA,NA,NA,NA,NA,NA,"RQ02","Kazakh","Russia",NA
"91",66,NA,NA,NA,NA,NA,NA,"AH01","Mongolia","Asia",NA
"92",68,NA,NA,NA,NA,NA,NA,"AK05","Lepcha","Asia",NA
"93",69,NA,NA,NA,NA,NA,NA,"AR05","Garo","Asia",NA
"94",71,NA,NA,NA,NA,NA,NA,"AP04","Burmans","Asia",NA
"95",73,NA,NA,NA,NA,NA,NA,"AM11","Vietnamese","Asia",NA
"96",79,NA,NA,NA,NA,NA,NA,"AZ02","Andamans","Asia",NA
"97",84,NA,NA,NA,NA,NA,NA,"OF07","Balinese","Oceania",NA
"98",86,NA,NA,NA,NA,NA,NA,"OA08","Sama-Bajau","Oceania",NA
"99",90,NA,NA,NA,NA,NA,NA,"OI20","Tiwi","Oceania",NA
"100",96,NA,NA,NA,NA,NA,NA,"OM06","Manus","Oceania",NA
"101",104,NA,NA,NA,NA,NA,NA,"OZ04","Maori","Oceania",NA
"102",106,NA,NA,NA,NA,NA,NA,"OU08","Samoans","Oceania",NA
"103",119,NA,NA,NA,NA,NA,NA,"RX02","Nivkh","Russia",NA
"104",127,NA,NA,NA,NA,NA,NA,"NG06","Ojibwa","North America",NA
"105",131,NA,NA,NA,NA,NA,NA,"NE09","Haida","North America",NA
"106",132,NA,NA,NA,NA,NA,NA,"NE06","Nuxalk","North America",NA
"107",135,NA,NA,NA,NA,NA,NA,"NS18","Pomo","North America",NA
"108",136,NA,NA,NA,NA,NA,NA,"NS29","Yokuts","North America",NA
"109",141,NA,NA,NA,NA,NA,NA,"NQ14","Hidatsa","North America",NA
"110",142,NA,NA,NA,NA,NA,NA,"NQ18","Pawnee","North America",NA
"111",151,NA,NA,NA,NA,NA,NA,"NU79","O'odham","North America",NA
"112",158,NA,NA,NA,NA,NA,NA,"SB05","Kuna","South America",NA
"113",160,NA,NA,NA,NA,NA,NA,"SV03","Haitians","South America",NA
"114",162,NA,NA,NA,NA,NA,NA,"SS18","Warao","South America",NA
"115",163,NA,NA,NA,NA,NA,NA,"SQ18","Yanoama","South America",NA
"116",164,NA,NA,NA,NA,NA,NA,"SR09","Barama River Carib","South America",NA
"117",165,NA,NA,NA,NA,NA,NA,"SR15","Saramaka","South America",NA
"118",173,NA,NA,NA,NA,NA,NA,"SF21","Sirionó","South America",NA
"119",179,NA,NA,NA,NA,NA,NA,"SP26","Xavante","South America",NA
"120",181,NA,NA,NA,NA,NA,NA,"SM04","Guaraní","South America",NA
"121",202,NA,NA,NA,NA,NA,NA,"AR07","Khasi","Asia",NA
"122",203,NA,NA,NA,NA,NA,NA,"AX04","Sinhalese","Asia",NA
"123",204,NA,NA,NA,NA,NA,NA,"EF06","Serbs","Europe",NA
"124",207,NA,NA,NA,NA,NA,NA,"MS14","Kanuri","Middle East",NA
"125",211,NA,NA,NA,NA,NA,NA,"NF06","Blackfoot","North America",NA
"126",212,NA,NA,NA,NA,NA,NA,"NM09","Iroquois","North America",NA
"127",213,NA,NA,NA,NA,NA,NA,"NT09","Hopi","North America",NA
"128",214,NA,NA,NA,NA,NA,NA,"NU33","Tarahumara","North America",NA
"129",218,NA,NA,NA,NA,NA,NA,"RV02","Yakut","Russia",NA
"130",219,NA,NA,NA,NA,NA,NA,"SC07","Kogi","South America",NA
"131",221,NA,NA,NA,NA,NA,NA,"SI07","Mataco","South America",NA
"132",223,NA,NA,NA,NA,NA,NA,"SP08","Bororo","South America",NA
