"","ID","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_nonfd_sev_exposure2_30_IA","cluster","eHRAF.Name","Region","DQ"
"107",73,NA,NA,NA,NA,NA,"Vietnamese","Asia",NA
"108",84,NA,NA,NA,NA,NA,"Balinese","Oceania",NA
"109",86,NA,NA,NA,NA,NA,"Sama-Bajau","Oceania",NA
"110",90,NA,NA,NA,NA,NA,"Tiwi","Oceania",NA
"111",96,NA,NA,NA,NA,NA,"Manus","Oceania",NA
"112",104,NA,NA,NA,NA,NA,"Maori","Oceania",NA
"113",106,NA,NA,NA,NA,NA,"Samoans","Oceania",NA
"114",127,NA,NA,NA,NA,NA,"Ojibwa","North America",NA
"115",132,NA,NA,NA,NA,NA,"Nuxalk","North America",NA
"116",135,NA,NA,NA,NA,NA,"Pomo","North America",NA
"117",141,NA,NA,NA,NA,NA,"Hidatsa","North America",NA
"118",142,NA,NA,NA,NA,NA,"Pawnee","North America",NA
"119",151,NA,NA,NA,NA,NA,"O'odham","North America",NA
"120",160,NA,NA,NA,NA,NA,"Haitians","South America",NA
"121",164,NA,NA,NA,NA,NA,"Barama River Carib","South America",NA
"122",165,NA,NA,NA,NA,NA,"Saramaka","South America",NA
"123",173,NA,NA,NA,NA,NA,"Sirionó","South America",NA
"124",181,NA,NA,NA,NA,NA,"Guaraní","South America",NA
"125",202,NA,NA,NA,NA,NA,"Khasi","Asia",NA
"126",203,NA,NA,NA,NA,NA,"Sinhalese","Asia",NA
"127",207,NA,NA,NA,NA,NA,"Kanuri","Middle East",NA
"128",211,NA,NA,NA,NA,NA,"Blackfoot","North America",NA
"129",212,NA,NA,NA,NA,NA,"Iroquois","North America",NA
"130",214,NA,NA,NA,NA,NA,"Tarahumara","North America",NA
"131",218,NA,NA,NA,NA,NA,"Yakut","Russia",NA
"132",221,NA,NA,NA,NA,NA,"Mataco","South America",NA
