"","ID","allhazards_onset_avg_30","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_nonfd_sev_exposure2_30_IA","cluster","eHRAF.Name","OWC","SCCS.ID","PSF.Cluster","new PSF cases","IBSS Sample","SRS.SEQ","EA.ID","SCCS/EA concordance","New Cases to Code","Coded for hazards (total sample)","EP Used","Place Focus Used","Documents used in Hazards 2022 coding","Expanded beyond PAs (per Hazards 2022)","Potential diachronic case","Diachronic details","New PSF cases (no PAs or EP previously assigned)","Coded for TL","Region","Subsistence Type","...23","...24","...25","...26","...27","...28","DO NOT USE [SCCS.Principal.Authorities (eHRAF document IDs)]","DQ"
"20",13,2,5,0,7,0.5,2,"Mbuti","FO04",13,"1",NA,1,NA,"Aa05",NA,NA,1,1950,"Epulu net hunters of the Ituri Forest","3, 1, 2",NA,0,"N - PSF",NA,"1","Africa","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1, 2, 3",2
"21",16,1.33333333333333,0,0,1.5,0,2,"Tiv","FF57",16,"9",1,NA,NA,"Ah03","Y",1,1,1920,"Benue province","3, 1, 21, 27, 20, 26, 18, 31, 19, 32, 30, 2, 29",NA,1,"Y - PSF (2)",NA,"1","Africa","horticulturalists",NA,NA,NA,NA,NA,NA,"1, 2, 3, 18, 19, 20, 21, 26, 27, 29, 30, 31, 32",2
"22",19,1.33333333333333,2,0,0,4.25,2,"Akan","FE12",19,"6",1,NA,NA,"Af03","Y",1,1,1895,"Kumasi state","1",NA,1,"Y - PSF (3)",NA,"1","Africa","horticulturalists",NA,NA,NA,NA,NA,NA,"1, 2, 3, 5(caution), 8",2
"23",21,1.95454545454545,2,20,7,0,2,"Wolof","MS30",21,"7",NA,1,NA,"Cb02","Y",NA,1,1950,"Upper and Lower Salum, Gambia","1",NA,1,"Y - PSF (5)",NA,"1","Middle East","horticulturalists",NA,NA,NA,NA,NA,NA,"1",2
"24",23,1.5,6,0,9.5,0,2,"Tallensi","FE11",23,NA,NA,1,NA,"Ag04","Y",NA,1,1934,"Entirety of tribe (Tongo Village, Ghana)","4, 2, 3, 11",NA,0,NA,NA,"1","Africa","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"2, 3, 4, 5, 6, 8, 10",2
"25",27,1.95454545454545,2,20,9,0,2,"Masa","FI21",27,NA,NA,1,NA,"Ai09","Y",1,1,1910,"Around Yagoua, in Cameroon","2, 1",NA,0,NA,NA,"in French","Africa","agro-pastoralists",NA,NA,NA,NA,NA,NA,"1(caution)",2
"26",30,1.5,4,0,4,0,2,"Nuba","FJ21",30,NA,NA,1,NA,"Ai10","Y",NA,1,1930,"Entirety, Nuba Hills Otoro","1",NA,1,"Y - Hazards",NA,"1","Africa","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1(partial)",2
"27",34,1,3,0,6,0,2,"Maasai","FL12",34,"11",NA,1,NA,"Aj02","Y",NA,1,1900,"Not specified","1, 18",NA,0,"N - PSF",NA,"1","Africa","pastoralists",NA,NA,NA,NA,NA,NA,"1, 3, 11, 18",1
"28",36,1.33333333333333,8,0,11.25,0,2,"Somali","MO04",36,"12",NA,1,NA,"Ca02",NA,NA,1,1900,"Dolbahanta subtribe","18",NA,1,"Y - PSF (3)",NA,"1","Middle East","pastoralists",NA,NA,NA,NA,NA,NA,"1(partial), 6, 16, 18",2
"29",37,1.04761904761905,1,20,5,2,2,"Amhara","MP05",37,"17",NA,1,NA,"Ca07","Y",NA,1,1953,"Gondar District","20",NA,1,"Y - PSF (3)",NA,"1","Middle East","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"20",2
"30",40,1.66666666666667,6,0,8,0,2,"Teda","MS22",40,NA,NA,1,NA,"Cc02","Y",NA,1,1950,"Nomads of Tibesti","8, 1, 2",NA,0,NA,NA,"1","Middle East","agro-pastoralists",NA,NA,NA,NA,NA,NA,"2, 3, 8",1
"31",46,1.66666666666667,2,0,3.5,0,2,"Rwala Bedouin","MD04",46,NA,NA,1,NA,"Cj02","Y",NA,1,1913,"Not specified","1",NA,0,NA,NA,"1","Middle East","pastoralists",NA,NA,NA,NA,NA,NA,"1",1
"32",47,1.5,4,0,3,2,2,"Turks","MB01",47,NA,NA,1,NA,"Ci05","Y",NA,1,1950,"Northern Anatolian Plateau","2, 3, 7",NA,0,NA,NA,"1","Middle East","commercial economy",NA,NA,NA,NA,NA,NA,"2, 3, 7, 8, 9, 10",1
"33",58,1.5,3,0,3.25,0,2,"Basseri","MA10",58,NA,NA,1,NA,"Ea06","Y",NA,1,1958,"Nomadic branch","1, 2",NA,0,NA,NA,"1","Middle East","pastoralists",NA,NA,NA,NA,NA,NA,"1, 2",2
"34",59,1,6,0,5.25,0,2,"West Punjabi","AT03",59,NA,NA,1,NA,"Ea13","Y",NA,1,1950,"Mohla Village","8, 7",NA,0,NA,NA,"1","Asia","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"7, 8(caution), 9(caution), 10(caution), 11(caution)",1
"35",62,1,4,0,8,0,2,"Santal","AW42",62,"28",NA,1,NA,"Ef01","Y",NA,1,1940,"Bankura and Birbhum districts of Bengal","5, 3",NA,0,"N - PSF",NA,"1","Asia","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"3, 4, 5",2
"36",70,2,1,0,2,0,2,"Mara","AR20",70,NA,NA,1,NA,"Ei04","Y",NA,1,1930,"Entirety, tribe","1",NA,0,NA,NA,"1","Asia","horticulturalists",NA,NA,NA,NA,NA,NA,"1",2
"37",72,1,0,20,5,0,2,"Rmeet","AM28",72,NA,NA,1,NA,"Ej01","Y",NA,1,1940,"Entirety, tribe, northwestern Laos","1, 2, 4, 3",NA,0,NA,NA,"1","Asia","horticulturalists",NA,NA,NA,NA,NA,NA,"1, 2, 3, 4",2
"38",76,1,6,10,9.5,0,2,"Central Thai","AO07",76,"30",NA,1,NA,"Ej09",NA,NA,1,1955,"Village of Bang Chan","6, 1, 28, 5, 3, 34, 7, 4, 8, 11",NA,1,"Y - Hazards; N - PSF",NA,"1","Asia","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1, 3, 4, 5, 6, 7, 8, 11, 28, 34",1
"39",83,2,3,0,0,2,2,"Javanese","OE05",83,NA,NA,1,NA,"Ib02",NA,NA,1,1954,"Town and environs of Pare",NA,NA,0,NA,NA,"1","Oceania","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"3, 4, 5, 17, 18, 19, 20, 32",2
"40",85,1.5,2,0,2,0.5,2,"Iban","OC06",85,"33",NA,1,NA,"Ib01","Y",NA,1,1950,"Baleh","1",NA,1,"Y - PSF (2)",NA,"1","Oceania","horticulturalists",NA,NA,NA,NA,NA,NA,"1, 6, 11, 15, 16",1
"41",91,1,2,0,2,0,2,"Aranda","OI08",91,"35",NA,1,NA,"Id01","Y",NA,1,1896,"Alice springs and environs.","1",NA,1,"Y - PSF (2)",NA,"1","Oceania","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1",2
"42",94,2,0,20,5,0,2,"Kapauku","OJ29",94,"36",NA,1,NA,"Ie01","Y",NA,1,1955,"Village of Botukebo","2, 1, 3, 5",NA,0,NA,NA,"1","Oceania","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1, 2, 3, 5",1
"43",100,1.85714285714286,7,0,11,0,2,"Tikopia","OT11",100,"40",NA,1,NA,"Ii02","Y",NA,1,1930,"Ravenga District","26, 27, 3, 2, 1",NA,1,"Y - PSF (2)",NA,"1","Oceania","horticulturalists",NA,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18(partial), 19, 22(partial), 23(partial), 25(partial), 26, 27, 28",1
"44",102,1.5,2,0,1,2,2,"Bau Fijians","OQ12",102,NA,NA,1,NA,"Ih14","Y",NA,1,1840,"Bau Chiefdom, Island of Mbau","3, 5, 6, 7",NA,NA,NA,NA,NA,"Oceania","primarily hunter-gatherers",NA,NA,NA,NA,NA,NA,NA,1
"45",108,2,1,0,2.5,0,2,"Marshallese","OR11",108,NA,NA,1,NA,"If17","Y",NA,1,1900,"Jaluit Atoll","3, 2, 1",NA,1,"Y - Hazards",NA,"1","Oceania","other subsistence combinations",NA,NA,NA,NA,NA,NA,"1(partial), 2, 3, 20",1
