"","ID","disaster_onset_avg_30","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_nonfd_sev_exposure2_30_IA","cluster","OWC","eHRAF.Name","Region","DQ"
"82",72,NA,NA,NA,NA,NA,NA,"AM28","Rmeet","Asia",NA
"83",73,NA,NA,NA,NA,NA,NA,"AM11","Vietnamese","Asia",NA
"84",79,NA,NA,NA,NA,NA,NA,"AZ02","Andamans","Asia",NA
"85",84,NA,NA,NA,NA,NA,NA,"OF07","Balinese","Oceania",NA
"86",86,NA,NA,NA,NA,NA,NA,"OA08","Sama-Bajau","Oceania",NA
"87",90,NA,NA,NA,NA,NA,NA,"OI20","Tiwi","Oceania",NA
"88",92,NA,NA,NA,NA,NA,NA,"OJ23","Orokaiva","Oceania",NA
"89",94,NA,NA,NA,NA,NA,NA,"OJ29","Kapauku","Oceania",NA
"90",96,NA,NA,NA,NA,NA,NA,"OM06","Manus","Oceania",NA
"91",99,NA,NA,NA,NA,NA,NA,"ON19","Siwai","Oceania",NA
"92",104,NA,NA,NA,NA,NA,NA,"OZ04","Maori","Oceania",NA
"93",106,NA,NA,NA,NA,NA,NA,"OU08","Samoans","Oceania",NA
"94",118,NA,NA,NA,NA,NA,NA,"AB06","Ainu","Asia",NA
"95",119,NA,NA,NA,NA,NA,NA,"RX02","Nivkh","Russia",NA
"96",127,NA,NA,NA,NA,NA,NA,"NG06","Ojibwa","North America",NA
"97",130,NA,NA,NA,NA,NA,NA,"NA07","Eyak","North America",NA
"98",131,NA,NA,NA,NA,NA,NA,"NE09","Haida","North America",NA
"99",132,NA,NA,NA,NA,NA,NA,"NE06","Nuxalk","North America",NA
"100",135,NA,NA,NA,NA,NA,NA,"NS18","Pomo","North America",NA
"101",136,NA,NA,NA,NA,NA,NA,"NS29","Yokuts","North America",NA
"102",141,NA,NA,NA,NA,NA,NA,"NQ14","Hidatsa","North America",NA
"103",142,NA,NA,NA,NA,NA,NA,"NQ18","Pawnee","North America",NA
"104",151,NA,NA,NA,NA,NA,NA,"NU79","O'odham","North America",NA
"105",156,NA,NA,NA,NA,NA,NA,"SA15","Miskito","South America",NA
"106",158,NA,NA,NA,NA,NA,NA,"SB05","Kuna","South America",NA
"107",160,NA,NA,NA,NA,NA,NA,"SV03","Haitians","South America",NA
"108",162,NA,NA,NA,NA,NA,NA,"SS18","Warao","South America",NA
"109",163,NA,NA,NA,NA,NA,NA,"SQ18","Yanoama","South America",NA
"110",164,NA,NA,NA,NA,NA,NA,"SR09","Barama River Carib","South America",NA
"111",165,NA,NA,NA,NA,NA,NA,"SR15","Saramaka","South America",NA
