"","ID","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_nonfd_sev_exposure2_30_IA","cluster","OWC","eHRAF.Name","Region","DQ"
"95",5,NA,NA,NA,NA,NA,"FP13","Ovimbundu","Africa",NA
"96",22,NA,NA,NA,NA,NA,"FA08","Bambara","Africa",NA
"97",28,NA,NA,NA,NA,NA,"FO07","Azande","Africa",NA
"98",29,NA,NA,NA,NA,NA,"MQ08","Fur","Middle East",NA
"99",42,NA,NA,NA,NA,NA,"MX03","Berbers of Morocco","Middle East",NA
"100",55,NA,NA,NA,NA,NA,"RI03","Abkhazians","Russia",NA
"101",57,NA,NA,NA,NA,NA,"MA11","Kurds","Middle East",NA
"102",63,NA,NA,NA,NA,NA,"AW19","Uttar Pradesh","Asia",NA
"103",65,NA,NA,NA,NA,NA,"RQ02","Kazakh","Russia",NA
"104",66,NA,NA,NA,NA,NA,"AH01","Mongolia","Asia",NA
"105",68,NA,NA,NA,NA,NA,"AK05","Lepcha","Asia",NA
"106",69,NA,NA,NA,NA,NA,"AR05","Garo","Asia",NA
"107",73,NA,NA,NA,NA,NA,"AM11","Vietnamese","Asia",NA
"108",84,NA,NA,NA,NA,NA,"OF07","Balinese","Oceania",NA
"109",86,NA,NA,NA,NA,NA,"OA08","Sama-Bajau","Oceania",NA
"110",90,NA,NA,NA,NA,NA,"OI20","Tiwi","Oceania",NA
"111",96,NA,NA,NA,NA,NA,"OM06","Manus","Oceania",NA
"112",104,NA,NA,NA,NA,NA,"OZ04","Maori","Oceania",NA
"113",106,NA,NA,NA,NA,NA,"OU08","Samoans","Oceania",NA
"114",127,NA,NA,NA,NA,NA,"NG06","Ojibwa","North America",NA
"115",132,NA,NA,NA,NA,NA,"NE06","Nuxalk","North America",NA
"116",135,NA,NA,NA,NA,NA,"NS18","Pomo","North America",NA
"117",141,NA,NA,NA,NA,NA,"NQ14","Hidatsa","North America",NA
"118",142,NA,NA,NA,NA,NA,"NQ18","Pawnee","North America",NA
"119",151,NA,NA,NA,NA,NA,"NU79","O'odham","North America",NA
"120",160,NA,NA,NA,NA,NA,"SV03","Haitians","South America",NA
"121",164,NA,NA,NA,NA,NA,"SR09","Barama River Carib","South America",NA
"122",165,NA,NA,NA,NA,NA,"SR15","Saramaka","South America",NA
"123",173,NA,NA,NA,NA,NA,"SF21","Sirionó","South America",NA
"124",181,NA,NA,NA,NA,NA,"SM04","Guaraní","South America",NA
"125",202,NA,NA,NA,NA,NA,"AR07","Khasi","Asia",NA
"126",203,NA,NA,NA,NA,NA,"AX04","Sinhalese","Asia",NA
"127",207,NA,NA,NA,NA,NA,"MS14","Kanuri","Middle East",NA
"128",211,NA,NA,NA,NA,NA,"NF06","Blackfoot","North America",NA
"129",212,NA,NA,NA,NA,NA,"NM09","Iroquois","North America",NA
"130",214,NA,NA,NA,NA,NA,"NU33","Tarahumara","North America",NA
"131",218,NA,NA,NA,NA,NA,"RV02","Yakut","Russia",NA
"132",221,NA,NA,NA,NA,NA,"SI07","Mataco","South America",NA
