"SCCS ID","SOCIETY NAME","OWC","EA-SUB-PER","EA-GA","EA-HU","EA-FI","EA-AH","EA-AG","subsistence_domain","CAL1","CAL1A_scale_of_sub","CAL1B_frequency","CAL1C_gender","practiced","cooperation_present","EA_dependence"
70,"Mara","AR20","0,2,1,1,6",0,2,1,1,6,"HU",2,NA,NA,5,1,1,2
70,"Mara","AR20","0,2,1,1,6",0,2,1,1,6,"FI",1,3,3,5,1,1,1
70,"Mara","AR20","0,2,1,1,6",0,2,1,1,6,"AH",NA,NA,NA,NA,NA,NA,1
70,"Mara","AR20","0,2,1,1,6",0,2,1,1,6,"AG",0,0,0,NA,1,0,6
59,"West Punjabi","AT03","0,0,0,2,8",0,0,0,2,8,"GA",NA,NA,NA,NA,0,NA,0
59,"West Punjabi","AT03","0,0,0,2,8",0,0,0,2,8,"HU",NA,NA,NA,NA,0,NA,0
59,"West Punjabi","AT03","0,0,0,2,8",0,0,0,2,8,"FI",0,0,0,NA,1,0,0
59,"West Punjabi","AT03","0,0,0,2,8",0,0,0,2,8,"AH",1,1,4,3,1,1,2
59,"West Punjabi","AT03","0,0,0,2,8",0,0,0,2,8,"AG",1,2,2,3,1,1,8
64,"Burusho","AV07","0,0,0,4,6",0,0,0,4,6,"GA",NA,NA,NA,NA,0,NA,0
64,"Burusho","AV07","0,0,0,4,6",0,0,0,4,6,"HU",NA,NA,NA,NA,0,NA,0
64,"Burusho","AV07","0,0,0,4,6",0,0,0,4,6,"FI",NA,NA,NA,NA,0,NA,0
64,"Burusho","AV07","0,0,0,4,6",0,0,0,4,6,"AH",NA,NA,NA,NA,NA,NA,4
64,"Burusho","AV07","0,0,0,4,6",0,0,0,4,6,"AG",2,2.5,3,3,1,1,6
60,"Gond","AW32","2,1,0,2,5",2,1,0,2,5,"GA",NA,NA,NA,NA,NA,NA,2
60,"Gond","AW32","2,1,0,2,5",2,1,0,2,5,"HU",2,NA,NA,NA,1,1,1
60,"Gond","AW32","2,1,0,2,5",2,1,0,2,5,"FI",2,NA,NA,NA,1,1,0
60,"Gond","AW32","2,1,0,2,5",2,1,0,2,5,"AH",NA,NA,NA,NA,NA,NA,2
60,"Gond","AW32","2,1,0,2,5",2,1,0,2,5,"AG",2,3,4,3,1,1,5
62,"Santal","AW42","0,1,1,1,7",0,1,1,1,7,"GA",NA,NA,NA,NA,0,NA,0
62,"Santal","AW42","0,1,1,1,7",0,1,1,1,7,"HU",NA,NA,NA,NA,NA,NA,1
62,"Santal","AW42","0,1,1,1,7",0,1,1,1,7,"FI",NA,NA,NA,NA,NA,NA,1
62,"Santal","AW42","0,1,1,1,7",0,1,1,1,7,"AH",0,0,0,NA,1,0,1
62,"Santal","AW42","0,1,1,1,7",0,1,1,1,7,"AG",1,2,2,NA,1,1,7
NA,"Sinhalese","AX04","0,0,1,3,6",0,0,1,3,6,"GA",NA,NA,NA,NA,0,NA,0
NA,"Sinhalese","AX04","0,0,1,3,6",0,0,1,3,6,"HU",NA,NA,NA,NA,0,NA,0
NA,"Sinhalese","AX04","0,0,1,3,6",0,0,1,3,6,"FI",NA,NA,NA,NA,NA,NA,1
NA,"Sinhalese","AX04","0,0,1,3,6",0,0,1,3,6,"AH",NA,NA,NA,NA,NA,NA,3
NA,"Sinhalese","AX04","0,0,1,3,6",0,0,1,3,6,"AG",1,2,2,3,1,1,6
79,"Andamans","AZ02","4,2,4,0,0",4,2,4,0,0,"GA",2,3,2,NA,1,1,4
79,"Andamans","AZ02","4,2,4,0,0",4,2,4,0,0,"HU",2,1.5,2,5,1,1,2
79,"Andamans","AZ02","4,2,4,0,0",4,2,4,0,0,"FI",2,1,NA,5,1,1,4
79,"Andamans","AZ02","4,2,4,0,0",4,2,4,0,0,"AH",NA,NA,NA,NA,0,NA,0
79,"Andamans","AZ02","4,2,4,0,0",4,2,4,0,0,"AG",NA,NA,NA,NA,0,NA,0
NA,"Serbs","EF06","0,0,0,4,6",0,0,0,4,6,"GA",NA,NA,NA,NA,0,NA,0
NA,"Serbs","EF06","0,0,0,4,6",0,0,0,4,6,"HU",NA,NA,NA,NA,0,NA,0
