ID,OWC.x,DQ,allhazards_est_count_30,allhazards_sev_exposure_30,disaster_sev_exposure_30,allhazards_H9a_sev_exposure_30,disaster_h9a_sev_exposure_30,fd3_est_count_30,allhazards_threat_est_count_30,allhazards_onset_avg_30,allhazards_pred_avg_30,normative_est_count_30,normative_onset_avg_30,normative_pred_avg_30,normative_severe_avg_30,normative_freq_30,disaster_threat_est_count_30,disaster_est_count_30,disaster_onset_avg_30,disaster_pred_avg_30,disaster_severe_avg_30,disaster_freq_30,normative_freq_30_IA,disaster_freq_30_IA,normative_est_count_30_IA,disaster_est_count_30_IA,disaster_threat_est_count_30_IA,allhazards_est_count_30_IA,fd3_est_count_30_IA,allhazards_threat_est_count_30_IA,allhazards_sev_exposure_30_IA,disaster_sev_exposure_30_IA,allhazards_H9a_sev_exposure_30_IA,disaster_h9a_sev_exposure_30_IA,SOCIETY NAME,OWC.y,EA-SUB-PER,GA-CAL1-R,GA-CAL1A-R,GA-CAL1B-R,GA-CAL1C-R,HU-CAL1-R,HU-CAL1A-R,HU-CAL1B-R,HU-CAL1C-R,FI-CAL1-R,FI-CAL1A-R,FI-CAL1B-R,FI-CAL1C-R,AH-CAL1-R,AH-CAL1A-R,AH-CAL1B-R,AH-CAL1C-R,AG-CAL1-R,AG-CAL1A-R,AG-CAL1B-R,AG-CAL1C-R,GA_practiced,HU_practiced,FI_practiced,AH_practiced,AG_practiced,GA-CAL1B-R_increasing,HU-CAL1B-R_increasing,FI-CAL1B-R_increasing,AH-CAL1B-R_increasing,AG-CAL1B-R_increasing,GA_pair,HU_pair,FI_pair,AH_pair,AG_pair,GA_ca_gt0,HU_ca_gt0,FI_ca_gt0,AH_ca_gt0,AG_ca_gt0,pair_coverage_count,ca_gt0_count,any_domain_pair,domain,EA_score,CAL1_score,ca_ea_pair_score,pair_domain
23,FE11,2,8,9.5,9,9.5,9,6,NA,1.5,1.125,NA,NA,NA,NA,NA,NA,6,1.5,1.16666666666667,3.5,5,1,5,0,6,0,8,6,0,9.5,9,9.5,9,Tallensi,FE11,"1,0,0,2,7",NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,AG,7,0,0,AG
24,MS20,2,20,5,NA,0,NA,NA,NA,2,3,20,2,3,2,7,NA,NA,NA,NA,NA,NA,7,1,20,0,0,20,0,0,5,0,0,0,Songhai,MS20,"0,0,2,3,5",NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,2,1,NA,2,3,3,5,NA,1,1,1,1,NA,0,0,4,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,2,10,AG
25,MS11,1,34,16,8,12.75,6.25,6,NA,1.88235294117647,2.23529411764706,20,2,3,2,7,NA,8,1.75,1,3,5,7,5,20,8,0,34,6,0,16,8,12.75,6.25,Fulani,MS11,"0,0,0,9,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0,0,0,1,0,0,0,0,1,0,1,1,1,AH,9,1,9,AH
26,MS12,2,26,9.5,4,4.5,4,4,NA,1.84615384615385,2.69230769230769,20,2,3,2,7,NA,4,1,2,3,5,7,5,20,4,0,26,4,0,9.5,4,4.5,4,Hausa,MS12,"1,0,0,3,6",NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,2,5,1,1,2,5,NA,1,1,1,1,NA,0,0,3,3,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,1,6,AG
27,FI21,2,22,9,4,9,4,2,NA,1.95454545454545,2.81818181818182,20,2,3,2,7,NA,2,1.5,1,4,4,7,4,20,2,0,22,2,0,9,4,9,4,Masa,FI121,"0,1,3,1,5",NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,2,2,3,NA,1,2.5,3,NA,NA,NA,1,1,1,NA,NA,2,2,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,1,5,AG
28,FO07,3,22,9,4,9,4,2,NA,2,2.81818181818182,20,2,3,2,7,NA,2,NA,1,4,4,7,4,20,2,NA,22,2,NA,9,4,9,4,Azande,FO07,"1,2,1,0,6",NA,NA,NA,NA,NA,NA,NA,NA,2,2,1.5,3,0,0,0,0,1,2,3,3,NA,NA,1,0,1,NA,NA,NA,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,1,6,AG
29,MQ08,3,10,7,2,7,2,NA,1,2,2,10,2,2,2.5,6,1,NA,NA,NA,NA,2,6,2,10,NA,1,10,NA,1,7,2,7,2,Fur,MQ08,"0,0,1,3,6",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,2.5,1,4,0,0,0,0,NA,0,NA,1,1,NA,0,NA,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,AG,6,0,0,AG
30,FJ21,2,4,4,4,4,4,4,NA,1.5,1,NA,NA,NA,NA,NA,NA,4,1.5,1,3,5,1,5,0,4,0,4,4,0,4,4,4,4,Nuba,FJ21,"0,2,0,2,6",NA,NA,NA,NA,1,3,3,5,0,0,0,0,1,3,3,5,1,2,4,3,NA,1,0,1,1,NA,2,0,2,1,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,1,6,AG
35,MP17,1,48,21,10,15,10,4,1,1.91666666666667,1.91666666666667,40,2,2,2,7,1,4,1,1,4,5,7,5,40,4,1,48,4,1,21,10,15,10,Konso,MP17,"0,0,0,4,6",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,2,3,2.5,3,0,NA,0,NA,1,0,NA,0,NA,NA,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,2,12,AG
36,MO04,2,9,11.25,11,11.25,11,8,NA,1.33333333333333,1.11111111111111,NA,NA,NA,NA,NA,NA,8,1.25,1,3.375,5,1,5,0,8,0,9,8,0,11.25,11,11.25,11,Somali,MO04,"0,0,0,9,1",0,0,0,0,0,0,0,0,0,0,0,0,1,3,NA,5,1,0,0,0,0,0,0,1,1,0,0,0,NA,0,0,0,0,1,0,0,0,0,1,0,1,1,1,AH,9,1,9,AH
