ID,OWC.x,DQ,allhazards_est_count_30,allhazards_sev_exposure_30,disaster_sev_exposure_30,allhazards_H9a_sev_exposure_30,disaster_h9a_sev_exposure_30,fd3_est_count_30,allhazards_threat_est_count_30,allhazards_onset_avg_30,allhazards_pred_avg_30,normative_est_count_30,normative_onset_avg_30,normative_pred_avg_30,normative_severe_avg_30,normative_freq_30,disaster_threat_est_count_30,disaster_est_count_30,disaster_onset_avg_30,disaster_pred_avg_30,disaster_severe_avg_30,disaster_freq_30,normative_freq_30_IA,disaster_freq_30_IA,normative_est_count_30_IA,disaster_est_count_30_IA,disaster_threat_est_count_30_IA,allhazards_est_count_30_IA,fd3_est_count_30_IA,allhazards_threat_est_count_30_IA,allhazards_sev_exposure_30_IA,disaster_sev_exposure_30_IA,allhazards_H9a_sev_exposure_30_IA,disaster_h9a_sev_exposure_30_IA,SOCIETY NAME,OWC.y,EA-SUB-PER,GA-CAL1-R,GA-CAL1A-R,GA-CAL1B-R,GA-CAL1C-R,HU-CAL1-R,HU-CAL1A-R,HU-CAL1B-R,HU-CAL1C-R,FI-CAL1-R,FI-CAL1A-R,FI-CAL1B-R,FI-CAL1C-R,AH-CAL1-R,AH-CAL1A-R,AH-CAL1B-R,AH-CAL1C-R,AG-CAL1-R,AG-CAL1A-R,AG-CAL1B-R,AG-CAL1C-R,GA_practiced,HU_practiced,FI_practiced,AH_practiced,AG_practiced,GA-CAL1B-R_increasing,HU-CAL1B-R_increasing,FI-CAL1B-R_increasing,AH-CAL1B-R_increasing,AG-CAL1B-R_increasing,GA_pair,HU_pair,FI_pair,AH_pair,AG_pair,GA_ca_gt0,HU_ca_gt0,FI_ca_gt0,AH_ca_gt0,AG_ca_gt0,pair_coverage_count,ca_gt0_count,any_domain_pair,domain,EA_score,CAL1_score,ca_ea_pair_score,pair_domain
87,OG11,1,26,12.5,7,5,5,4,1,1.84615384615385,2.53846153846154,20,2,3,2,7,1,5,1.2,1,3.2,5,7,5,20,5,1,26,4,1,12.5,7,5,5,Eastern Toradja,OG11,"0,2,0,2,6",0,0,0,0,1,2,3,5,2,3,3,5,0,0,0,0,2,2,3,3,0,1,1,1,1,0,2,2,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,2,12,AG
90,OI20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tiwi,OI20,"5,3,2,0,0",0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,GA,5,0,0,GA
91,OI08,2,2,2,2,2,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,2,1,1,3,4,1,4,0,2,0,2,2,0,2,2,2,2,Aranda,OI08,"6,4,0,0,0",2,1,2,1.5,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,GA,6,2,12,GA
92,OJ23,2,40,15,NA,15,NA,NA,NA,1.5,2.5,40,1.5,2.5,2.25,7,NA,NA,NA,NA,NA,NA,7,1,40,0,0,40,0,0,15,0,15,0,Orokaiva,OJ23,"1,.1,2,1,5",2,3,2,4,2,3,2,5,2,3,2,NA,NA,NA,NA,NA,1,3,4,2.5,1,1,1,NA,1,3,3,3,NA,1,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,1,5,AG
93,OJ82,1,27,21,16,21,16,7,1,2,2.62962962962963,20,2,3,2,7,1,7,2,1.57142857142857,4,5,7,5,20,7,1,27,7,1,21,16,21,16,Kimam,OJ82,"2,1,1,0,6",2,2,2,1,2,3,3,3,2,3,3,1,0,0,0,0,2,2,3,4,1,1,1,0,1,3,2,2,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,2,12,AG
94,OJ29,1,20,5,NA,5,NA,NA,NA,2,3,20,2,3,2,7,NA,NA,NA,NA,NA,NA,7,1,20,0,0,20,0,0,5,0,5,0,Kapauku,OJ29,"0,1,1,2,6",0,0,0,0,NA,NA,NA,NA,2,1,2,5,1,2,4,NA,0,0,0,0,0,NA,1,1,1,0,NA,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,AG,6,0,0,AG
96,OM06,3,2,0.5,NA,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0.5,NA,0,NA,Manus,OM06,"0,0,9,1,0",0,0,0,0,0,0,0,0,1,2,4,5,NA,NA,NA,NA,1,1,1,1,0,0,1,NA,1,0,0,1,NA,4,0,0,1,0,0,0,0,1,0,0,1,1,1,FI,9,1,9,FI
98,OL06,2,23,8,3,2,2,2,NA,1.91304347826087,2.78260869565217,20,2,3,2,7,NA,3,1.33333333333333,1.33333333333333,3,4,7,4,20,3,0,23,2,0,8,3,2,2,Trobriands,OL06,"1,0,3,1,5",NA,NA,NA,NA,0,0,0,0,1,2,4,5,NA,NA,NA,NA,1,2.5,2,3,NA,0,1,NA,1,NA,0,1,NA,3,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,1,5,AG
100,OT11,1,7,13,13,11,11,7,NA,1.85714285714286,1.42857142857143,NA,NA,NA,NA,NA,NA,7,1.85714285714286,1.42857142857143,3.85714285714286,5,1,5,0,7,0,7,7,0,13,13,11,11,Tikopia,OT11,"0,0,5,0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,0,0,1,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,2,1,1,AG,5,2,10,AG
102,OQ12,1,2,3,3,1,1,1,NA,1.5,1,NA,NA,NA,NA,NA,NA,2,1.5,1,3.5,4,1,4,0,2,0,2,1,0,3,3,1,1,Bau Fijians,OQ12,"1,0,5,0,4",NA,NA,NA,NA,0,0,0,0,2,2,NA,5,1,3,4,NA,1,3,4,NA,NA,0,1,1,1,NA,0,NA,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,FI,5,2,10,FI
106,OU08,3,26,8,2,8,2,2,NA,1.92307692307692,1.84615384615385,20,2,2,2,7,NA,2,2,2,3,4,7,4,20,2,NA,26,2,NA,8,2,8,2,Samoans,OU08,"0,0,3,1,6",0,0,0,0,0,0,0,0,2,2.5,2,5,NA,NA,NA,NA,2,3,4,4,0,0,1,NA,1,0,0,3,NA,1,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,2,12,AG
109,OR19,1,7,5.25,4.5,4.5,4.5,4,NA,2,1.42857142857143,NA,NA,NA,NA,NA,NA,4,2,1.5,3.125,5,1,5,0,4,0,7,4,0,5.25,4.5,4.5,4.5,Chuuk,OR19,"0,0,5,0,5",2,2,NA,3,0,0,0,0,1,3,1,2.5,0,0,0,0,2,3,2,3.5,1,0,1,0,1,NA,0,4,0,3,0,0,1,0,1,0,0,1,0,1,2,2,1,AG,5,2,10,AG
112,OA19,1,24,9,4,9,4,4,NA,1,2.83333333333333,20,NA,3,2,7,NA,4,1,2,3,5,7,5,20,4,0,24,4,0,9,4,9,4,Ifugao,OA19,"0,2,1,1,6",0,0,0,0,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,5,0,1,NA,NA,1,0,NA,NA,NA,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,2,12,AG
116,AA01,3,33,18,11,12.25,11,9,1,1.87878787878788,2,20,2,2,2,7,NA,9,1.77777777777778,2.11111111111111,3.22222222222222,5,7,5,20,9,NA,33,9,1,18,11,12.25,11,Korea,AA01,"0,0,2,2,6",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,0,0,NA,NA,1,0,0,NA,NA,4,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,2,12,AG
117,AB43,1,47,21.25,11,21.25,11,7,2,1.08510638297872,2,40,1,2,2,7,1,7,1.57142857142857,2,3.42857142857143,5,7,5,40,7,1,47,7,2,21.25,11,21.25,11,Okayama,AB43,"0,0,2,1,7",0,0,0,0,0,0,0,0,2,3,4,5,NA,NA,NA,NA,1,3,3,3,0,0,1,NA,1,0,0,1,NA,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,7,1,7,AG
119,RX02,2,NA,2,2,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,2,0,0,1,0,0,1,2,2,2,2,Nivkh,RX02,"2,3,5,0,0",NA,NA,NA,NA,2,3,3,5,2,3,3,5,0,0,0,0,0,0,0,0,NA,1,1,0,0,NA,2,2,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,FI,5,2,10,FI
121,RY02,2,21,7,2,7,2,1,NA,1.95238095238095,2.95238095238095,20,2,3,2,7,NA,1,1,2,4,3,7,3,20,1,0,21,1,0,7,2,7,2,Chukchee,RY02,"0,2,3,5,0",0,0,0,0,1,1,3,5,NA,NA,NA,NA,2,3,3,3.5,0,0,0,0,0,1,NA,1,0,0,2,NA,2,0,0,0,0,1,0,0,0,0,1,0,1,1,1,AH,5,2,10,AH
130,NA07,2,20,5,NA,5,NA,NA,NA,1,2,20,1,2,2,7,NA,NA,NA,NA,NA,NA,7,1,20,0,0,20,0,0,5,0,5,0,Eyak,NA07,"2,3,5,0,0",NA,NA,NA,NA,2,3,2,3,2,1,NA,5,0,0,0,0,0,0,0,0,NA,1,1,0,0,NA,3,NA,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,FI,5,2,10,FI
132,NE06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nuxalk,NE06,"2,2,6,0,0",NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,5,0,0,0,0,0,0,0,0,NA,NA,1,0,0,NA,NA,2,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,FI,6,2,12,FI
136,NS29,1,20,5,NA,0,NA,NA,NA,NA,2,20,NA,2,2,7,NA,NA,NA,NA,NA,NA,7,1,20,0,0,20,0,0,5,0,0,0,Yokuts,NS29,"5,2,3,0,0",1,3,3,1,1,3,4,5,2,1.5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,2,1,2,NA,NA,1,0,0,0,0,1,0,0,0,0,1,1,1,GA,5,1,5,GA
141,NQ14,3,22,10.75,NA,10.5,NA,NA,1,2,2.86363636363636,20,2,3,2.5,7,NA,NA,NA,NA,NA,NA,7,NA,20,NA,NA,22,NA,1,10.75,NA,10.5,NA,Hidatsa,NQ14,"1,2,1,0,6",NA,NA,NA,NA,2,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,2,2,NA,1,NA,NA,1,NA,2,NA,NA,3,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,2,12,AG
142,NQ18,3,3,6,6,6,6,3,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,NA,4,4,NA,4,NA,3,NA,3,3,NA,6,6,6,6,Pawnee,NQ18,"1,4,0,0,5",NA,NA,NA,NA,1,1,4,3,0,0,0,0,0,0,0,0,1,3,4,1,NA,1,0,0,1,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,1,5,AG
144,NG05,1,11,12.5,12,12,12,9,NA,1.72727272727273,1.27272727272727,NA,NA,NA,NA,NA,NA,9,1.66666666666667,1.33333333333333,3.33333333333333,5,1,5,0,9,0,11,9,0,12.5,12,12,12,Huron/Wendat,NG05,"1,1,3,0,5",NA,NA,NA,NA,2,2.5,3,4,2,2,NA,NA,0,0,0,0,1,2,3,3,NA,1,1,0,1,NA,2,NA,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,1,5,AG
151,NU79,3,56,25,14,25,14,14,NA,1.82142857142857,2.78571428571429,40,2,3,2,7,NA,14,1.28571428571429,2.42857142857143,3,6,7,6,40,14,NA,56,14,NA,25,14,25,14,O'odham,NU79,"3,2,0,0,5",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2,3,2,3,NA,NA,0,0,1,NA,NA,0,0,3,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,2,10,AG
154,NU30,2,1,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,3,3,1,3,0,1,0,1,1,0,1,1,1,1,Popoluca,NU30,"0,1,1,0,8",0,0,0,0,1,NA,NA,5,NA,NA,NA,NA,0,0,0,0,1,1.5,4,3.5,0,1,NA,0,1,0,NA,NA,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,8,1,8,AG
158,SB05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,Kuna,SB05,"0,1,3,0,6",0,0,0,0,2,2,4,5,2,1.5,2,5,0,0,0,0,2,2.5,2,3,0,1,1,0,1,0,1,3,0,3,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,2,12,AG
159,SC13,1,5,6,6,6,6,5,NA,1,1.8,NA,NA,NA,NA,NA,NA,5,1,1.8,3.2,5,1,5,0,5,0,5,5,0,6,6,6,6,Goajiro,SC13,"0,1,1,7,1",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,NA,2,2.5,3,NA,0,NA,NA,1,1,0,NA,NA,1,2,0,0,0,1,0,0,0,0,1,0,1,1,1,AH,7,1,7,AH
160,SV03,3,4,9,9,6,6,3,1,1.75,1.75,NA,NA,NA,NA,NA,1,4,1.75,1.75,3.75,5,NA,5,NA,4,1,4,3,1,9,9,6,6,Haitians,SV03,"0,0,0,2,8",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,3,1,4,0,0,0,NA,1,0,0,0,NA,4,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,8,2,16,AG
163,SQ18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,Yanomama,SQ18,"1,0,0,0,9",NA,NA,NA,NA,1,2,4,5,0,0,0,0,0,0,0,0,1,2,2,3.5,NA,1,0,0,1,NA,1,0,0,3,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,9,1,9,AG
165,SR15,3,1,0.25,NA,0.25,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.25,NA,0.25,NA,Saramaka,SR15,"1,2,2,0,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,1.5,3,5,NA,NA,NA,NA,1,NA,NA,NA,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,2,10,AG
167,SQ19,2,20,5,NA,5,NA,NA,NA,2,3,20,2,3,2,7,NA,NA,NA,NA,NA,NA,7,1,20,0,0,20,0,0,5,0,5,0,Tukano,SQ19,"1,1,3,0,5",2,3,NA,1,2,1,NA,5,1,3,3,5,0,0,0,0,1,3,3,5,1,1,1,0,1,NA,NA,2,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,1,5,AG
168,SD06,2,20,5,NA,0,NA,NA,NA,2,3,20,2,3,2,7,NA,NA,NA,NA,NA,NA,7,1,20,0,0,20,0,0,5,0,0,0,Chachi,SD06,"1,1,2,1,5",NA,NA,NA,NA,2,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,NA,NA,1,NA,3,NA,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,1,AG,5,0,0,AG
172,SF05,1,13,18,18,18,18,13,NA,1.61538461538462,1,NA,NA,NA,NA,NA,NA,13,1.61538461538462,1,3.38461538461538,6,1,6,0,13,0,13,13,0,18,18,18,18,Aymara,SF05,"0,0,1,3,6",0,0,0,0,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,NA,3,0,1,NA,NA,1,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,2,12,AG
173,SF21,4,20,5,NA,5,NA,NA,NA,2,3,20,2,3,2,7,NA,NA,NA,NA,NA,NA,7,NA,20,NA,NA,20,NA,NA,5,NA,5,NA,Sirionó,SF21,"3,5,1,0,1",0,0,0,0,1,2,2,5,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,1,NA,0,NA,0,3,NA,0,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,HU,5,1,5,HU
181,SM04,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guaraní,SM04,"2,2,1,0,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,3,NA,3,NA,NA,NA,0,1,NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,2,10,AG
182,SK15,2,8,6.5,6,6.5,6,6,NA,1.75,1,NA,NA,NA,NA,NA,NA,6,1.66666666666667,1,3,5,1,5,0,6,0,8,6,0,6.5,6,6.5,6,Enxet and Enlhet,SK15,"2,5,2,0,1",NA,NA,NA,NA,1,2,2,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,0,NA,NA,3,0,0,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,HU,5,1,5,HU
184,SG04,1,5,6,6,6,6,5,NA,1.6,1.4,NA,NA,NA,NA,NA,NA,5,1.6,1.4,3.2,5,1,5,0,5,0,5,5,0,6,6,6,6,Mapuche,SG04,"1,0,1,2,6",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,1.5,3,5,1,1.5,3,4,NA,0,NA,1,1,NA,0,NA,2,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,1,6,AG
185,SH05,1,5,1.25,NA,0.75,NA,NA,NA,1.75,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,5,0,0,1.25,0,0.75,0,Tehuelche,SH05,"2,7,1,0,0",NA,NA,NA,NA,2,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,HU,7,2,14,HU
186,SH06,2,20,5,NA,0,NA,NA,NA,2,1,20,2,1,2,7,NA,NA,NA,NA,NA,NA,7,1,20,0,0,20,0,0,5,0,0,0,Yahgan,SH06,"1,2,7,0,0",2,3,2,3,2,3,2,3,2,3,2,3,0,0,0,0,0,0,0,0,1,1,1,0,0,3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,FI,7,2,14,FI
